timestamp,floor_price
2023-01-14 00:00:00,15.69
2023-01-15 00:00:00,14.95
2023-01-16 00:00:00,14.25
2023-01-17 00:00:00,15.18
2023-01-18 00:00:00,14
2023-01-19 00:00:00,12.79
2023-01-20 00:00:00,13.99
2023-01-21 00:00:00,12.99
2023-01-22 00:00:00,13.7
2023-01-23 00:00:00,13.25
2023-01-24 00:00:00,12.99
2023-01-25 00:00:00,12.99
2023-01-26 00:00:00,13.398
2023-01-27 00:00:00,13.2653
2023-01-28 00:00:00,13.99
2023-01-29 00:00:00,13.79
2023-01-30 00:00:00,13.59
2023-01-31 00:00:00,13.5
2023-02-01 00:00:00,14.749999
2023-02-02 00:00:00,13.55
2023-02-03 00:00:00,13.6
2023-02-04 00:00:00,14.24
2023-02-05 00:00:00,13.86
2023-02-06 00:00:00,13.9
2023-02-07 00:00:00,13.7
2023-02-08 00:00:00,13.9
2023-02-09 00:00:00,14.1
2023-02-10 00:00:00,14.285
2023-02-11 00:00:00,14.285
2023-02-12 00:00:00,14.2
2023-02-13 00:00:00,14.59
2023-02-14 00:00:00,13
2023-02-15 00:00:00,13.99
2023-02-16 00:00:00,14.71
2023-02-17 00:00:00,14.69
2023-02-18 00:00:00,14.71
2023-02-19 00:00:00,14.71
2023-02-20 00:00:00,14.71
2023-02-21 00:00:00,14.71
2023-02-22 00:00:00,14.6
2023-02-23 00:00:00,14.71
2023-02-24 00:00:00,14.71
2023-02-25 00:00:00,14.3799
2023-02-26 00:00:00,14.71
2023-02-27 00:00:00,14.71
2023-02-28 00:00:00,14.71
